Id,EmployeeId,UserName,FirstName,MiddleName,LastName,DisplayName,FullTimeEmployee,EmployeeType,IsActive,OrganizationCode,SupervisorName,EmailId,MobileNumber,Country,JoinDate,TerminationDate,EffectiveStartDate,EffectiveEndDate,LastReportingDate,RehireDate,AssignDate,CreatedDate,LastModifiedDate,ReasonCode
19,19,CoreySean,Corey,,Sean,CoreySean,Yes,Staff,Yes,MATEERIALS_MANAGEMENT,AndrewJoe,CoreySean@ContosoCorp.com,60607089,SG,25-04-2019 00:00,,25-04-2019 00:00,,,,25-04-2019 00:00,25-04-2019 00:00,,NewJoinee
20,20,DanielSebastian,Daniel,,Sebastian,DanielSebastian,Yes,Staff,Yes,QUALITY_MANAGEMENT,AndrewJoe,DanielSebastian@ContosoCorp.com,60607090,SG,25-04-2019 00:00,,25-04-2019 00:00,,,,25-04-2019 00:00,25-04-2019 00:00,,NewJoinee
21,21,DavidTaylor,David,,Taylor,DavidTaylor,Yes,Staff,Yes,PRODUCTION_PLANNING,AndrewJoe,DavidTaylor@ContosoCorp.com,60607091,SG,25-04-2019 00:00,,25-04-2019 00:00,,,,25-04-2019 00:00,25-04-2019 00:00,,NewJoinee
22,22,DominicTheo,Dominic,,Theo,DominicTheo,Yes,Staff,Yes,LOGISTICS_CONTROLLING,AndrewJoe,DominicTheo@ContosoCorp.com,60607092,SG,25-04-2019 00:00,,25-04-2019 00:00,,,,25-04-2019 00:00,25-04-2019 00:00,,NewJoinee
23,23,DylanThomas,Dylan,,Thomas,DylanThomas,Yes,Staff,Yes,SALES_OPERATIONS,ArchieJoel,DylanThomas@ContosoCorp.com,60607093,SG,25-04-2019 00:00,,25-04-2019 00:00,,,,25-04-2019 00:00,25-04-2019 00:00,,NewJoinee
24,24,EdwardToby,Edward,,Toby,EdwardToby,Yes,Staff,Yes,SALES_SUPPORT,ArchieJoel,EdwardToby@ContosoCorp.com,60607094,SG,25-04-2019 00:00,,25-04-2019 00:00,,,,25-04-2019 00:00,25-04-2019 00:00,,NewJoinee
25,25,ElliotRobert,Elliot,,Robert,ElliotRobert,Yes,Staff,Yes,SHIPPING_TRANSPORTATION,ArchieJoel,ElliotRobert@ContosoCorp.com,60607095,SG,25-04-2019 00:00,,25-04-2019 00:00,,,,25-04-2019 00:00,25-04-2019 00:00,,NewJoinee
26,26,EthanWilliam,Ethan,,William,EthanWilliam,Yes,Staff,Yes,BILLING,ArchieJoel,EthanWilliam@ContosoCorp.com,60607096,SG,25-04-2019 00:00,,25-04-2019 00:00,,,,25-04-2019 00:00,25-04-2019 00:00,,NewJoinee
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
